FRAME,TRACKID,COORD_X,COORD_Y
0,2,2785.904785,101.083473
0,-1,133.859024,234.101318
0,3,2055.021729,264.269562
0,-1,3156.054443,358.909088
0,4,1299.294189,405.023804
0,5,636.835999,558.635559
0,-1,593.510071,557.060547
0,6,2016.231812,695.724487
0,7,418.897919,801.58136
0,8,2795.432129,970.471619
1,-1,3150.979004,74.211937
1,2,2784.926758,105.982628
1,-1,3152.164062,221.692749
1,3,2049.906982,263.933563
1,-1,3154.104736,361.334869
1,4,1293.293823,404.657471
1,-1,3155.958984,500.305939
1,5,629.24884,558.112549
1,-1,3157.730713,649.193726
1,6,2014.302368,695.817261
1,-1,3158.007568,793.292908
1,7,403.575836,804.44989
1,-1,430.684448,800.76001
1,-1,3157.289551,935.023987
1,8,2790.264404,968.678162
2,2,2783.584473,107.971489
2,-1,3152.851807,230.382721
2,3,2056.058594,264.328827
2,4,1292.51062,404.998474
2,5,626.053711,562.13501
2,-1,3159.275146,658.26355
2,6,2012.158569,695.666138
2,-1,3159.316162,799.512024
2,7,407.423157,805.569641
2,-1,3157.076904,948.892334
2,8,2782.146484,971.138977
3,2,2783.619385,107.910133
3,3,2056.178955,263.903656
3,4,1291.349243,405.255402
3,-1,168.961044,493.575745
3,5,638.622009,558.810974
3,6,2011.611084,695.158264
3,-1,3159.501953,800.095642
3,7,407.932495,805.706421
3,8,2775.749268,968.402954
3,-1,3156.86084,951.054871
4,-1,1882.152222,0.954733
4,2,2778.98999,108.730156
4,-1,148.060837,113.235741
4,-1,3153.600098,229.335999
4,3,2055.331787,262.985352
4,4,1293.503296,405.026154
4,-1,172.506851,442.027405
4,-1,168.602646,494.447021
4,-1,220.805969,544.810974
4,5,625.596985,558.365662
4,6,2012.487183,694.993164
4,-1,3160.242676,799.851501
4,7,415.802002,804.621826
4,8,2764.143311,971.092651
5,-1,140.345627,68.778801
5,2,2773.02002,106.66362
5,-1,147.214767,112.657715
5,-1,151.590469,192.080948
5,-1,3153.930664,228.529709
5,3,2047.938965,263.338409
5,-1,131.617508,341.460815
5,4,1287.936035,404.910522
5,-1,168.493591,494.326935
5,5,631.901855,558.94519
5,-1,3192.084473,572.511108
5,-1,160.750626,601.997498
5,6,2012.216309,692.958313
5,-1,149.753616,774.077271
5,7,418.232483,804.012878
5,-1,225.841125,833.43927
5,8,2745.701172,971.791016
6,-1,139.79808,68.865387
6,2,2767.213379,109.215446
6,-1,143.570877,115.816093
6,-1,151.615005,192.285004
6,-1,3153.245361,231.027267
6,3,2047.988037,262.949524
6,4,1284.447632,405.056885
6,-1,171.878952,420.39212
6,-1,168.693222,496.02359
6,-1,189.758621,534.940857
6,-1,221.539902,544.666687
6,5,631.827332,558.930481
6,-1,3190.689697,572.970459
6,-1,161.200974,601.832947
6,6,2013.331299,690.835144
6,-1,150.972336,773.49408
6,7,417.0802,804.003662
6,-1,3157.875,948.450012
6,8,2737.075684,971.771667
7,-1,140.957947,68.948601
7,2,2753.32959,106.874771
7,-1,146.709824,114.3125
7,-1,151.365295,192.132416
7,-1,3153.929932,229.560745
7,3,2046.950806,262.632324
7,4,1280.862305,404.708923
7,-1,168.562119,494.381989
7,5,640.554016,559.170715
7,-1,3191.197998,572.555542
7,-1,159.969391,602.668396
7,6,2010.871216,693.115356
7,7,407.559753,798.905212
7,-1,3160.673096,796.75354
7,-1,197.43602,830.87677
7,-1,3157.967041,947.97644
7,8,2715.765869,973.939209
8,2,2751.318359,101.874809
8,-1,151.283722,192.637207
8,3,2048.136719,262.283508
8,4,1274.962769,404.491608
8,-1,170.193542,425.812897
8,-1,168.519638,495.045319
8,5,640.513611,559.037415
8,-1,156.470581,607.678711
8,6,2010.591431,686.844666
8,7,406.362061,795.690308
8,8,2702.927002,972.006531
9,2,2744.361572,104.761665
9,-1,146.237503,113.629166
9,-1,151.58963,192.811325
9,3,2046.146484,258.848969
9,4,1277.381226,404.225311
9,-1,170.971832,433.718323
9,-1,168.7742,494.516144
9,5,640.723145,558.944641
9,-1,161.230194,601.665833
9,6,2012.553833,683.18335
9,7,400.569366,791.604736
9,-1,226.393021,833.314392
9,8,2694.546143,973.137573
10,-1,3232.2771,36.614231
10,2,2734.178955,107.595039
10,3,1984.229004,234.476486
10,4,1266.54895,412.602905
10,-1,173.871567,442.577972
10,-1,168.733337,494.799988
10,5,635.93927,559.08783
10,6,2017.387817,687.519653
10,-1,221.045837,688.341675
10,7,393.608704,784.422791
10,-1,225.060486,834.092712
10,8,2672.625244,973.387146
10,-1,229.203613,981.809937
11,-1,3232.153076,36.103127
