FRAME,TRACKID,COORD_X,COORD_Y
0,-1,497.122284,3.943231
0,-1,711.038635,3.532819
0,-1,913.066101,2.92562
0,-1,1130.983154,3.630252
0,-1,1332.258057,3.494624
0,2,2388.286621,92.616974
0,3,1405.789795,230.608109
0,4,2229.089355,373.250275
0,-1,193.410172,442.376282
0,5,2500.96875,453.815033
0,6,557.517456,650.511292
0,7,562.069641,750.121887
0,8,1973.366577,960.409424
0,-1,58.023041,996.179749
0,-1,10.82,996.61499
1,-1,494.405518,3.940945
1,-1,715.094421,3.566434
1,-1,913.256104,3.536585
1,-1,1135.560791,3.756863
1,-1,1335.456787,3.580247
1,2,2382.337402,92.113129
1,3,1405.932251,229.233047
1,4,2229.754639,373.787628
1,-1,193.570938,442.550171
1,5,2502.424072,453.674927
1,6,560.050903,650.870728
1,7,577.989929,740.880676
1,8,1973.215576,960.425537
1,-1,58.160194,995.93689
1,-1,11.397129,996.880371
2,-1,708.996277,3.712687
2,-1,909.205017,3.784173
2,-1,1130.431396,3.14902
2,-1,1334.473267,3.44856
2,2,2377.607178,92.092186
2,3,1405.787109,230.925812
2,4,2229.947021,374.030945
2,-1,193.419586,442.423065
2,5,2503.735596,453.853577
2,6,569.612244,657.591125
2,7,584.583557,740.891418
2,8,1971.954956,960.058716
3,-1,493.844971,3.984496
3,-1,710.676575,3.598513
3,-1,913.282715,3.721519
3,-1,1133.060303,3.641844
3,-1,1337.523315,3.174419
3,2,2372.171875,94.778046
3,3,1404.954346,228.588913
3,4,2229.089355,372.917206
3,-1,193.213287,442.639862
3,5,2503.715332,453.759308
3,6,575.649902,658.654297
3,7,588.936584,740.954895
3,8,1971.108276,960.454407
3,-1,11.439815,996.194458
3,-1,56.70507,995.755737
4,-1,494.595825,3.629167
4,-1,710.712219,3.863309
4,-1,910.76239,3.541254
4,-1,1335.182983,3.744681
4,2,2371.869873,89.288376
4,3,1406.546997,228.952957
4,4,2228.995605,372.87677
4,-1,193.059021,442.246521
4,5,2503.821777,453.96701
4,6,586.309387,657.505188
4,7,597.413818,741.341003
4,8,1971.743652,960.14093
4,-1,57.076923,995.225952
5,-1,751.851562,3.678445
5,-1,1173.545776,3.496732
5,-1,1371.973022,3.334615
5,2,2351.036133,72.674042
5,3,1400.39563,220.882675
5,4,2237.376953,385.498444
5,-1,193.220444,442.920135
5,5,2504.467773,453.983063
5,6,600.529114,655.461975
5,7,598.954956,748.156128
5,8,1984.914551,960.354248
5,-1,1952.776978,959.597961
6,-1,366.717499,4.06278
6,-1,562.647034,3.875817
6,-1,781.077881,3.545082
6,-1,982.400024,3.489796
6,-1,1202.12854,3.730924
6,-1,1403.880371,3.495727
6,2,2338.420166,71.332687
6,3,1397.269287,231.130035
6,-1,146.333328,375.166656
6,4,2279.290283,391.472229
6,-1,193.398666,442.740875
6,5,2503.715576,453.815613
6,6,607.041199,649.021301
6,7,608.837646,744.131165
6,8,1985.147095,959.852844
6,-1,1956.226074,959.524902
6,-1,12.580786,997.069885
7,-1,393.908386,3.919847
7,-1,590.284607,3.529644
7,-1,810.88324,3.613139
7,-1,1012.566956,2.854331
7,-1,1235.030396,3.447826
7,-1,1432.111084,2.368889
7,2,2333.612549,73.010414
7,3,1398.082886,229.075333
7,-1,146.25322,376.420593
7,4,2288.813965,390.932831
7,-1,193.339355,442.025269
7,5,2504.108887,453.320007
7,6,620.190125,639.029358
7,7,618.513428,737.441772
7,-1,3190.095703,799.588501
7,8,1971.58252,960.040222
7,-1,56.495998,995.288025
8,-1,416.835754,4.028986
8,-1,612.039307,3.567857
8,-1,834.509644,3.409266
8,-1,1032.288574,2.268657
8,-1,1256.475464,3.723776
8,2,2323.973389,74.36795
8,-1,2352.31665,74.108597
8,3,1396.509399,228.678497
8,-1,2269.263672,378.65271
8,4,2296.114502,391.052094
8,5,2504.460205,452.934265
8,6,619.956726,633.934387
8,7,624.890686,735.20080599999994
8,-1,3189.387207,800.612915
8,8,1985.333374,959.967407
8,-1,1942.814209,959.398926
9,-1,436.82074,3.64151
9,-1,632.553101,3.20354
9,-1,854.75116,3.900452
9,-1,1053.985474,3.528986
9,-1,1278.360352,3.977941
9,2,2336.725342,74.666199
9,3,1397.536499,221.954163
9,4,2291.491211,385.439697
9,5,2505.283447,453.267273
9,6,620.155334,631.847107
9,7,627.799988,739.038086
9,-1,3189.41748,799.434753
9,8,1969.830688,960.120361
10,-1,878.423401,3.633065
10,-1,1079.582397,3.019157
10,-1,1302.228394,3.547244
10,-1,1503.458374,4.3875
10,2,2342.067871,75.149498
10,3,1398.3125,219.328125
10,4,2294.515381,384.06546
10,5,2506.022461,452.986542
10,6,655.152039,629.296692
10,7,627.865051,742.398743
10,-1,3189.453369,800.666687
10,8,1985.267944,960.354065
10,-1,1952.778687,959.529663
11,-1,523.785095,3.877193
11,-1,940.779053,3.745318
11,-1,1140.462769,3.305785
11,-1,1362.35437,3.287719
11,-1,3272.774902,33.519481999999996
11,-1,3266.388672,76.364372
11,2,2329.811035,87.612602
11,3,1395.122681,224.165833
11,-1,3272.6875,341.992188
11,4,2296.780518,381.215332
11,5,2506.004395,453.109619
11,6,737.480835,620.836975
11,-1,3268.169678,654.915161
11,7,639.84198,742.286255
11,8,1985.545044,959.835022
12,-1,569.967285,3.690909
