FRAME,TRACKID,COORD_X,COORD_Y
0,2,1459.227783,219.12178
0,-1,4.898361,318.868866
0,3,1896.911865,408.932373
0,4,2273.348145,479.995422
0,5,2519.299561,669.804443
0,-1,81.125,745.478455
0,-1,45.121075,747.775757
0,6,1312.425171,834.304688
0,7,1760.957031,979.374023
1,-1,3058.918945,30.658451
1,2,1462.362549,216.706955
1,-1,4.986667,318.753326
1,3,1913.063721,408.802887
1,4,2270.904297,478.554413
1,5,2512.919434,682.005432
1,-1,80.206139,746.144714
1,-1,46.107143,747.263367
1,6,1317.622559,835.831055
1,7,1757.543091,980.975037
2,-1,3063.607178,31.930908
2,2,1467.449585,213.830658
2,-1,4.695206,318.92807
2,3,1919.455566,407.639832
2,4,2263.906982,473.611328
2,-1,2287.196289,488.382782
2,5,2506.97168,685.908325
2,-1,81.714287,745.5
2,-1,45.209301,747.446533
2,6,1317.399414,835.52887
2,7,1762.936279,978.097229
3,-1,3064.483398,30.80851
3,2,1472.464478,212.839493
3,-1,4.826087,318.615387
3,3,1929.574707,409.456177
3,4,2272.901855,479.598816
3,5,2506.977051,680.420593
3,-1,79.821739,745.313049
3,-1,44.6875,747.5625
3,6,1326.906494,837.84606900000006
3,7,1762.483154,978.107361
4,-1,3068.476807,32.364342
4,2,1477.341919,211.965042
4,-1,4.98366,318.846405
4,3,1939.3927,409.704193
4,4,2273.178711,479.282562
4,5,2500.527832,681.95282
4,-1,80.782425,745.343079
4,-1,45.266094,747.532166
4,6,1331.672729,839.059082
4,7,1760.115479,980.315186
5,-1,3072.814697,32.865742
5,2,1479.801636,211.358643
5,-1,4.820946,318.736481
5,3,1947.856934,410.751343
5,4,2270.873047,477.741791
5,5,2493.571533,679.512878
5,6,1335.788086,839.489746
5,7,1761.244507,978.761353
6,-1,3083.977539,30.463964
6,2,1482.797241,210.536667
6,-1,5.136364,318.665588
6,3,1960.40271,409.375275
6,4,2261.593262,474.933319
6,5,2494.564453,674.113159
6,-1,80.620689,745.425293
6,-1,44.565216,747.241516
6,6,1343.498413,841.047729
6,7,1760.13855,979.373474
7,2,1493.630493,208.034637
7,-1,5.092357,318.974518
7,3,1963.030518,410.018341
7,4,2261.575195,476.025909
7,5,2485.388672,698.248901
7,-1,4.502304,743.582947
7,-1,80.612762,745.35321
7,-1,44.5,747.554993
7,6,1350.255981,842.267822
7,7,1761.57019,979.266235
7,-1,11.377358,1001.0896
8,-1,13.496622,128.895264
8,2,1496.404663,210.273026
8,-1,1451.098145,215.175797
8,-1,11.531468,317.675995
8,3,1974.130737,411.289764
8,-1,167.664124,418.931305
8,4,2276.865967,483.309814
8,-1,23.249027,503.284058
8,5,2491.624756,688.512878
8,-1,81.194313,745.50708
8,6,1352.419922,841.289551
8,7,1759.234741,980.510559
8,-1,39.31752,1000.42334
9,-1,57.631798,3.991632
9,-1,3106.020264,27.732794
9,-1,52.519436,127.802116
9,2,1471.292114,213.46196
9,-1,55.888062,314.615662
9,3,1977.526367,410.555023
9,4,2284.460449,486.946655
9,-1,62.228001,502.052002
9,5,2488.594238,686.055725
9,-1,77.646515,746.646484
9,6,1370.397583,845.082947
9,-1,1777.122925,972.09906
9,7,1735.822144,993.814209
9,-1,78.71595,1000.412476
10,-1,3110.808838,28.65737
10,-1,3231.266113,28.688074
10,2,1475.21875,212.820312
10,-1,85.720337,313.940674
10,-1,3237.320557,386.08017
10,3,1969.209961,408.887726
10,-1,156.368179,429.522736
10,4,2282.774414,486.192871
10,-1,3240.706055,653.232666
10,5,2485.959717,685.719849
10,6,1387.790527,848.744934
10,7,1738.774292,988.147888
11,-1,3112.764404,29.072464
11,-1,3229.962646,30.701864
11,-1,3234.936523,199.146347
11,2,1477.609863,212.609924
11,-1,3236.94751,336.804749
11,3,1967.425049,406.777985
11,4,2283.612549,486.411407
11,-1,3240.275146,653.380737
11,5,2484.260254,686.989075
11,6,1407.890503,852.380432
11,7,1744.171265,989.107849
12,-1,3114.666748,28.850981
12,-1,3231.809082,31.052435
12,2,1477.179077,212.515289
12,3,1969.113647,406.457977
12,4,2282.895508,485.477356
12,-1,3235.034912,488.464996
12,5,2485.720703,695.223022
12,-1,3238.778076,759.579895
12,-1,3237.135254,814.669189
12,6,1417.236206,852.381897
13,-1,3231.289551,28.190044
13,-1,3113.710938,30.31559
13,-1,3236.085205,198.905212
13,2,1481.673218,214.449722
13,3,1971.024536,405.827942
13,-1,166.963638,415.931824
13,4,2257.872314,471.719635
13,-1,2303.50415,495.137665
13,-1,3240.467041,656.115723
13,5,2486.01709,688.859619
13,8,1811.25415,980.827759
14,-1,3232.587402,29.38835
14,2,1476.036255,234.315521
14,3,1973.168945,404.52227799999997
14,4,2265.550049,474.879333
14,-1,2318.57959,502.40152
14,5,2444.983154,689.553223
14,-1,19.225,753.991638
14,9,1444.676758,854.76794400000006
14,8,1812.409058,980.96283
14,-1,25.32258,1001.093201
15,-1,3231.504883,28.933332
15,-1,19.614786,128.338516
15,2,1479.089111,244.823776
15,-1,13.720174,317.151855
15,3,1973.178955,404.165131
15,4,2269.094238,477.218567
15,-1,27.899254,501.735077
15,5,2419.670166,690.84143099999994
15,-1,37.114552,750.653259
15,9,1451.794312,851.500977
15,8,1816.588501,984.196167
15,-1,43.865307,1000.277527
16,-1,59.037037,125.137039
16,2,1486.605713,265.274445
16,-1,4.714765,318.95639
16,-1,63.502056,314.506165
16,3,1979.732178,405.758667
16,4,2270.381836,477.475464
16,-1,67.946152,498.58847
16,5,2414.326416,687.262756
16,-1,46.055779,747.039856
16,9,1475.096436,853.427734
16,8,1814.265015,981.317261
16,-1,83.419357,997.564514
17,-1,85.450981,122.284317
17,2,1485.251221,259.735992
17,-1,4.837931,318.537933
17,-1,94.776245,313.339783
17,3,1989.267822,406.566956
17,4,2270,476.821808
17,5,2417.52417,679.834229
17,-1,2389.428955,701.201904
17,-1,44.33654,747.427856
17,9,1486.008057,854.037354
17,8,1819.864746,985.294128
18,2,1486.503296,259.977203
18,-1,4.755033,319
18,3,1993.497925,406.689789
18,4,2268.980957,476.007263
18,5,2419.161621,673.231018
18,-1,2389.106201,698.008362
18,-1,79.23333,745.75
18,-1,44.161903,747.56665
18,9,1496.356201,853.758179
18,8,1826.335083,989.769043
19,2,1487.819336,260.919342
19,-1,4.921052,318.851959
19,3,1995.486206,406.916992
19,4,2268.299561,476.110596
19,5,2392.310059,693.573914
19,-1,78.582222,745.817749
19,-1,43.777294,747.471619
