FRAME,TRACKID,COORD_X,COORD_Y
0,2,2400.473877,117.812881
0,3,2647.965332,250.784592
0,4,1573.060669,414.59552
0,5,1646.189697,533.950073
0,6,2177.958252,696.637207
0,7,2556.513184,813.536743
0,8,748.425537,992.779236
1,2,2400.060547,117.242424
1,3,2650.846436,250.853943
1,4,1576.719604,413.947021
1,5,1646.563477,534.122131
1,6,2179.055176,697.295349
1,7,2564.41333,814.723511
1,8,749.75,991.532715
2,2,2401.712402,117.46051
2,3,2654.177246,250.639938
2,4,1582.246216,413.948151
2,5,1646.032837,533.719666
2,6,2179.267822,697.152832
2,7,2572.484131,815.673401
2,8,750.710815,991.137329
3,2,2400.520508,117.239067
3,3,2657.928467,250.399719
3,4,1585.049927,413.744293
3,5,1645.504883,533.361267
3,6,2180.56958,697.697144
3,7,2578.685059,816.252625
3,8,750.801025,990.897888
4,2,2400.710449,117.237808
4,3,2661.815918,250.251053
4,4,1594.57666,414.018524
4,5,1645.553345,533.423218
4,6,2179.262939,696.778198
4,7,2584.894287,816.629578
4,8,752.580688,989.591248
5,2,2401.238525,117.001526
5,3,2668.52832,250.559998
5,4,1601.523682,414.014801
5,5,1642.661011,532.5
5,6,2180.281006,697.091248
5,7,2595.66626,817.797852
5,8,747.714539,991.699829
6,2,2400.649414,117.341156
6,3,2672.162842,250.897476
6,4,1605.122559,414.113953
6,5,1642.043213,532.242126
6,6,2179.343506,696.957947
6,7,2601.220703,818.009521
6,8,746.725037,992.253662
7,2,2402.612305,117.588043
7,3,2675.870117,250.644547
7,4,1604.611816,413.627197
7,5,1643.032837,532.343506
7,6,2181.169922,697.62561
7,7,2608.159424,818.51330599999994
7,8,749.377808,991.509521
8,2,2411.328369,118.108788
8,3,2677.182373,250.639755
8,4,1611.791138,414.044556
8,5,1643.625,532.213318
8,6,2179.925049,697.135681
8,7,2614.443115,818.5896
8,8,749.112305,991.358459
9,2,2419.049072,118.52459
9,3,2679.73291,250.199081
9,4,1614.619141,413.854645
9,5,1638.352539,530.641052
9,6,2180.973389,697.559875
9,7,2619.956055,818.837891
9,8,748.727844,991.237
10,2,2427.042969,119.079918
10,3,2682.5354,250.003143
10,4,1611.677734,413.580048
10,5,1615.090332,522.194275
10,6,2177.810547,695.959595
10,7,2624.899414,819.21698
10,8,748.708679,990.562195
11,2,2433.1604,118.681129
11,3,2687.598389,250.37796
11,4,1622.730347,413.830292
11,5,1590.652588,509.320465
11,6,2174.088867,694.236206
11,7,2638.267334,819.627014
11,8,749.203735,990.760193
12,2,2435.329346,118.808968
12,3,2689.606445,250.783737
12,4,1626.533691,414.064514
12,5,1582.523682,504.258118
12,6,2177.954834,695.962769
12,7,2643.276855,819.563477
12,8,748.540344,991.520203
13,2,2436.667236,118.934692
13,3,2690.932617,251.58934
13,4,1629.549805,414.256409
13,5,1580.330933,502.51709
13,6,2179.781494,696.725464
13,7,2648.256348,819.683838
13,8,749.284302,991.048462
14,2,2436.104004,118.816002
14,3,2695.903564,253.738556
14,4,1625.152588,413.295959
14,5,1577.152344,500.496185
14,6,2182.14624,697.408813
14,7,2657.924805,820.033142
14,8,748.996887,991.020386
15,2,2436.711914,118.789246
15,3,2696.388184,253.383408
15,4,1635.484619,414.03064
15,5,1575.787842,499.263885
15,6,2183.379639,696.944763
15,7,2654.699951,820.16864
15,8,749.594543,990.788208
16,2,2437.88208,118.686699
16,3,2697.352295,252.786728
16,4,1639.286499,414.148987
16,5,1575.37146,498.680511
16,6,2180.71167,693.510986
16,7,2662.310059,820.578918
16,8,748.909363,991.290649
17,2,2438.250488,118.703705
17,3,2702.706299,251.346207
17,4,1646.857178,413.85434
17,5,1575.667603,497.912689
17,6,2167.031738,684.571411
17,7,2675.280029,821.102234
17,8,748.570374,991.479858
18,2,2437.147949,118.781113
18,3,2705.116699,250.932632
18,4,1644.762695,413.342804
18,5,1575.738281,497.578949
18,6,2158.204102,692.099487
18,7,2682.115479,821.626099
18,-1,763.780029,983.25
18,8,739.920349,995.974854
19,2,2436.841797,119.010986
19,3,2707.866455,251.010742
19,4,1653.542358,413.725983
19,5,1576.119873,497.596161
19,6,2157.640381,691.591614
19,7,2690.792969,821.95544400000006
19,8,745.307068,992.263672
20,2,2436.501221,119.531181
20,3,2707.036621,251.516968
20,4,1656.343994,413.332001
20,5,1576.672363,497.849243
20,6,2155.786621,688.700867
20,7,2707.630859,821.963074
20,8,747.74408,992.803162
21,2,2437.043945,120.090279
21,3,2708.460693,251.429733
21,4,1658.924072,413.518036
21,5,1575.838135,497.304199
21,6,2154.194824,690.294922
21,7,2714.923584,821.969421
21,8,750.001221,991.513123
22,2,2438.085449,120.300232
22,3,2713.001465,251.346207
22,4,1664.973633,413.274445
22,5,1573.847778,495.768158
22,6,2150.989014,688.51330599999994
22,7,2726.649414,821.375122
22,8,751.750305,990.349121
23,2,2437.29834,120.425964
23,3,2714.358398,251.409348
23,4,1676.373901,413.964386
23,5,1573.773315,496.05191
23,6,2151.773926,690.592896
23,7,2730.871826,821.320801
23,8,752.276367,990.373535
24,2,2438.349854,120.394798
24,3,2713.735596,251.501358
24,4,1675.809204,413.290253
24,5,1573.389893,495.622192
24,6,2147.558594,691.662292
24,7,2738.831787,820.75238
24,8,751.50231900000006,990.74884
25,2,2437.59082,120.439079
25,3,2714.55542,251.360107
25,4,1685.546997,413.672363
25,5,1578.273926,490.95282
25,6,2149.337402,691.685425
25,7,2743.211182,820.484314
25,8,751.677551,990.391296
26,2,2438.978027,120.488998
26,3,2714.334717,251.411285
26,4,1688.393311,413.730347
26,5,1585.051758,488.840179
26,6,2148.035156,690.928223
26,7,2750.834229,820.527832
26,8,752.253296,990.126038
27,2,2437.223877,120.722816
27,3,2714.553467,251.32692
27,4,1691.17627,413.864166
27,5,1587.478027,489.110443
27,6,2149.7146,687.733032
27,7,2754.151611,820.537659
27,8,752.17419400000006,990.197876
28,2,2444.448975,120.750565
28,3,2713.914795,251.39064
28,4,1693.971069,413.8237
28,5,1588.900879,488.292694
28,6,2147.598145,686.452515
28,-1,19.537117,742.318787
28,7,2760.962891,820.890808
28,8,751.678894,990.345947
29,2,2450.682129,120.696259
29,3,2713.608398,251.43338
29,4,1696.788574,413.877136
29,5,1589.27063,486.009186
29,6,2144.357422,688.651855
29,7,2772.234375,821.186096
29,8,751.720825,990.287415
30,2,2459.237549,120.375366
30,3,2714.45752,251.285919
30,4,1699.762817,413.980011
30,5,1588.097046,485.255219
30,6,2139.643799,693.473511
30,7,2773.605957,821.174255
30,8,751.692749,990.730103
31,2,2466.304932,120.255737
31,3,2713.749023,251.268753
31,4,1703.09729,414.174042
31,5,1586.970215,484.194946
31,6,2138.440674,693.677673
31,7,2780.758301,821.297424
31,8,751.869263,990.48175
32,2,2471.271973,120.087502
32,3,2716.025635,251.174957
32,4,1706.408325,413.863892
32,5,1586.345581,483.844116
32,6,2134.361572,691.907715
32,7,2787.160645,821.53418
32,8,751.89978,990.49646
33,2,2477.009766,120.101974
33,3,2714.391846,251.390579
33,4,1708.727539,413.588409
33,5,1585.420654,483.446869
33,-1,2110.495605,691.995728
33,6,2085.303467,704.588379
33,7,2791.224365,821.578918
33,8,751.679871,990.346497
34,2,2479.620605,119.701897
34,3,2714.490967,251.251755
34,4,1714.860718,413.830078
34,5,1584.537231,484.129913
34,6,2078.94458,698.473511
34,7,2797.943604,821.916016
34,8,752.103516,990.23999
35,2,2482.383057,120.255432
35,3,2714.85083,251.198044
35,4,1717.712402,413.9328
35,5,1583.715942,483.979279
35,6,2074.220703,698.113586
35,7,2797.588623,821.967957
35,8,752.437256,990.030457
36,2,2482.885254,120.292351
36,3,2715.301758,251.053818
36,4,1723.526001,413.993896
36,5,1567.482544,488.659698
36,6,2066.80127,698.913086
36,7,2797.560059,826.347961
36,8,751.925171,990.41449
37,2,2483.361084,120.163322
37,3,2714.533691,251.310349
37,4,1725.355713,413.804657
37,5,1560.027588,487.664032
37,6,2064.076904,698.897583
37,7,2786.330566,823.200928
37,8,751.63855,990.441162
38,2,2484.395508,120.401131
38,3,2714.605225,251.120789
38,4,1728.268066,413.89624
38,5,1555.213623,487.823853
38,6,2058.447754,699.541321
38,7,2784.293945,822.672913
38,8,751.106018,990.793884
39,2,2483.589844,120.174156
39,3,2713.767822,251.263153
39,4,1731.302612,413.927948
39,5,1551.998535,488.407349
39,6,2050.47876,700.04541
39,7,2790.496826,827.409973
39,8,751.625916,990.531189
40,2,2485.461426,120.226517
40,3,2715.093994,250.963486
40,4,1730.638184,413.44519
40,5,1549.606079,490.31897
40,6,2035.941284,699.571228
40,7,2780.625,821.228027
40,8,751.622498,990.557373
41,2,2484.944092,120.182076
41,3,2714.226318,251.061722
41,4,1740.281372,413.986084
41,5,1544.516968,490.186371
41,6,2030.838623,698.268982
41,7,2777.253174,819.041626
41,8,752.08844,990.48822
42,2,2485.71582,120.175484
42,3,2715.044189,251.006882
42,4,1742.029785,413.355316
42,5,1536.358887,490.006531
42,6,2028.059082,698.011841
42,7,2774.248535,817.86554
42,8,751.287598,990.652222
43,2,2483.409424,120.546631
43,3,2714.430908,251.051483
43,4,1743.733154,413.303253
43,5,1530.371094,487.757874
43,6,2028.063477,697.224915
43,7,2774.938232,823.427673
43,8,751.537964,989.469727
44,2,2486.361572,120.253647
44,3,2714.899902,251.006958
44,4,1754.762451,413.784515
44,5,1525.167114,487.532593
44,6,2027.048828,697.518494
44,7,2774.007324,825.404053
44,8,745.379089,981.56012
45,2,2485.047852,120.202988
45,3,2714.770264,250.892761
45,4,1762.161987,413.877838
45,5,1517.843628,486.85965
45,6,2026.777222,697.698547
45,7,2774.320312,829.488708
45,8,737.495667,979.786743
46,2,2485.228516,120.121658
46,3,2714.936523,250.823212
46,4,1765.608276,414.127594
46,5,1515.376465,486.81778
46,6,2027.160278,697.16272
46,7,2774.965576,831.032349
46,8,737.644165,979.753845
47,2,2484.520264,120.361183
47,3,2714.762451,250.791672
47,4,1772.456543,414.137268
47,5,1513.891846,487.219299
47,6,2025.798462,699.408264
47,7,2775.333984,832.156006
47,8,736.041138,980.149841
48,2,2488.243652,120.162498
48,3,2714.382568,250.925369
48,4,1775.156006,413.743744
48,5,1513.309204,487.049347
48,6,2033.975342,694.75293
48,7,2789.595459,836.050842
48,8,729.868896,979.04187
49,2,2484.581299,120.468323
49,3,2714.980957,250.881317
49,4,1780.78186,412.645905
49,5,1511.79126,487.005798
49,6,2042.039673,696.830688
49,7,2797.631104,836.418396
49,8,727.981689,978.79126
50,2,2486.577393,120.544197
50,3,2713.538574,250.890671
50,4,1786.616699,409.913696
