FRAME,TRACKID,COORD_X,COORD_Y
0,-1,405.797089,3.623188
0,-1,623.359436,2.658986
0,-1,1244.599976,3.321739
0,2,2815.298828,64.976044
0,3,2045.064331,383.105469
0,4,1647.644775,635.29248
0,5,2099.678467,743.525513
0,6,1570.442261,953.619873
1,-1,433.690094,3.632231
1,-1,853.786072,2.572093
1,2,2838.237793,64.266754
1,3,2037.414551,384.324097
1,-1,2131.684326,463.215302
1,4,1670.836426,633.705261
1,5,2105.085205,746.770325
1,6,1597.806396,954.162781
2,-1,1100.252319,2.799065
2,-1,1298.157104,2.995238
2,-1,1519.616821,4.107477
2,2,2840.03418,64.730019
2,3,2033.635132,383.424805
2,-1,2130.529541,461.455231
2,4,1685.808105,631.825989
2,5,2105.057861,749.874268
2,6,1623.725708,955.124329
3,-1,891.315247,2.17734
3,-1,1315.418701,3.359606
3,2,2850.203369,64.09922
3,3,2029.679077,383.509277
3,-1,2129.760254,461.204254
3,4,1697.716797,631.019409
3,5,2095.907715,746.969604
3,6,1644.129761,954.002563
4,-1,493.265015,2.955
4,-1,1333.629639,2.925926
4,2,2860.445557,63.694561
4,7,2606.63916,248.990067
4,3,2025.742798,383.900299
4,-1,2130.44043,461.989532
4,4,1708.731567,630.106079
4,5,2089.498779,747.068054
4,6,1664.507812,952.747314
5,-1,1153.5896,2.485849
5,-1,1352.737061,2.892019
5,2,2869.068604,63.325706
5,7,2598.591064,245.457321
5,3,2023.24292,383.725861
5,-1,2121.212158,459.909973
5,4,1720.639648,629.602295
5,5,2082.777832,746.295837
5,6,1684.251221,951.204102
6,-1,946.73761,2.539604
6,-1,1172.990479,2.650718
6,-1,1369.493286,2.618834
6,2,2878.621338,63.292309
6,7,2593.259033,241.770584
6,3,2022.736938,381.296509
6,-1,2121.16626,460.296509
6,4,1731.220337,629.151306
6,5,2077.805176,746.687317
6,6,1705.105713,949.23645
7,-1,770.296631,3.239234
7,-1,1193.216797,2.965517
7,-1,1391.059082,3.545455
7,2,2884.981445,62.831787
7,7,2578.899658,244.796234
7,3,2028.281616,376.398773
7,-1,2118.077393,459.513763
7,4,1742.715698,629.039246
7,5,2074.041016,747.434753
7,6,1721.47876,948.194519
8,-1,580.647034,3.578431
8,-1,1223.782593,2.652174
8,-1,1422.325195,3.669903
8,2,2896.111816,62.379242
8,7,2569.708984,244.658188
8,-1,3271.578857,340.285095
8,3,2117.190186,460.067474
8,4,1763.383911,628.397583
8,5,2070.250977,749.987854
8,6,1751.540894,948.386902
9,-1,820.44751,2.744292
9,-1,1440.627441,3.897059
9,2,2899.919189,62.63295
9,7,2565.351807,245.252365
9,-1,3272.009766,340.67981
9,3,2115.746094,459.886566
9,4,1774.802368,628.877747
9,5,2084.126709,762.11969
9,6,1767.656128,948.910034
10,-1,1053.214966,2.645
10,7,2559.475586,245.853653
10,-1,3272.436523,341.504242
10,3,2118.561768,462.411469
10,4,1792.471313,630.111267
10,6,1798.152954,949.375305
11,-1,1075.908691,2.611872
11,-1,1497.803833,4.105263
11,-1,249.74559,41.901058
11,7,2560.043457,243.934784
11,-1,246.377197,333.561401
11,3,1941.651611,386.860657
11,-1,245.014282,482.538086
11,4,1802.326416,629.787659
11,-1,249.993286,782.288574
11,6,1816.494995,948.974854
12,-1,479.710083,3.39916
12,-1,1094.085815,2.65236
12,-1,1514.709351,4.182266
12,3,1939.235229,386.877106
12,4,1811.401245,629.846741
12,6,1833.08313,948.246765
13,-1,496.630829,3.392523
13,-1,692.923462,2.454545
13,-1,913.601929,2.524272
13,-1,1110.594482,2.778802
13,-1,1336.745239,3.014423
13,3,1926.74646,387.895782
13,4,1817.248657,630.488464
13,-1,45.656715,748.313416
13,6,1847.088135,947.834778
14,-1,513.264343,3.101322
14,-1,708.833313,2.714912
14,-1,1946.671509,384.235291
14,-1,1920.109497,388.008636
14,3,1987.738159,463.71106
14,4,1839.865356,630.394348
14,6,1870.145752,947.33606
15,-1,534.217773,3.653333
15,-1,1147.683228,3.064356
15,-1,1924.391846,385.895264
15,3,1985.526855,463.691071
15,4,1853.879761,630.732605
15,-1,2020.818237,742.981812
15,6,1895.480591,946.79364
16,-1,551.770752,2.936585
16,-1,125.482925,57.760975
16,-1,146.858368,374.690979
16,-1,1918.541626,386.003632
16,3,1984.788696,464.481842
16,4,1858.565552,630.348877
