FRAME,TRACKID,COORD_X,COORD_Y
0,2,2784.160156,107.987679
0,-1,133.878265,234.256516
0,-1,2055.640625,264.516144
0,-1,109.691544,313.109467
0,-1,3156.446533,360.422913
0,3,1297.650879,405.201141
0,4,637.156799,558.755371
0,5,2016.42395,695.755676
0,6,405.617401,802.978882
0,-1,437.10437,799.670044
0,7,2795.175049,970.856995
1,-1,3151.884521,76.399338
1,2,2784.979248,105.77462
1,-1,3152.876953,223.716476
1,-1,2056.495117,264.490204
1,-1,3155.831055,377.41095
1,3,1292.243896,404.742157
1,-1,3157.585938,502.979797
1,4,636.559631,558.279846
1,-1,3158.453369,648.333313
1,5,2014.507324,695.790527
1,-1,3158.320557,792.618958
1,6,403.638947,804.459717
1,-1,430.760498,800.802551
1,-1,3158.223389,933.538635
1,7,2790.046387,969.261902
2,2,2783.594482,108.028114
2,-1,9.25,130.180557
2,-1,3152.794189,230.058823
2,-1,109.544121,313.411774
2,3,1290.246582,405.282745
2,4,626.832642,561.400818
2,-1,3159.206299,656.642029
2,5,2012.309082,695.692566
2,-1,3159.199951,798.232727
2,6,408.405487,805.238831
2,-1,3157.493164,946.700012
2,7,2781.895752,971.659485
3,2,2783.431641,108.358383
3,3,1289.66333,405.61615
3,4,628.861206,558.512268
3,-1,33.243027,647.597595
3,5,2011.836914,695.105896
3,-1,3159.622314,799.904541
3,6,407.010254,805.866882
3,7,2775.338623,968.875122
3,-1,3156.845703,950.429932
4,2,2779.080322,108.806259
4,-1,3153.572754,228.547012
4,3,1291.049194,405.506348
4,-1,168.626328,494.651245
4,4,625.34436,558.340698
4,5,2012.5,695.269653
4,6,413.002563,805.172241
4,7,2763.93335,971.472717
5,2,2772.898682,106.990791
5,-1,147.741928,112.382492
5,-1,3154.126709,227.712189
5,8,2047.484253,263.297363
5,3,1286.253784,405.392548
5,-1,168.414291,493.921417
5,-1,221.111115,544.521729
5,4,631.821899,558.878967
5,-1,160.820358,601.751526
5,5,2012.504761,693.321289
5,-1,221.82547,687.52832
5,6,413.932861,804.541626
5,-1,225.793716,833.650208
5,7,2745.078369,972.456909
5,-1,229.41748,980.5
6,2,2767.323242,109.36364
6,8,2047.922852,262.861694
6,3,1282.790283,405.587799
6,-1,168.64357,495.257416
6,-1,221.53125,544.830383
6,4,631.607483,558.833313
6,-1,161.356583,597.79455599999994
6,5,2013.324341,691.128357
6,-1,221.976532,688.774658
6,-1,151.836914,773.467834
6,6,412.773499,804.214172
6,7,2736.495605,972.275879
7,2,2753.318604,106.898575
7,-1,3153.897461,229.078049
7,8,2047.710815,262.978394
7,3,1280.490234,405.067749
7,-1,168.630142,494.537659
7,4,632.880188,558.903198
7,-1,159.921967,603.043335
7,5,2010.743774,693.238464
7,6,406.33844,798.171509
7,-1,3160.409668,796.726807
7,7,2715.372803,974.386047
