FRAME,TRACKID,COORD_X,COORD_Y
0,-1,499.213043,3.856522
0,-1,707.805054,3.498195
0,-1,918.986511,2.126126
0,-1,1127.385864,3.318898
0,-1,1337.404175,2.604167
0,2,2388.060791,92.791573
0,3,1405.802734,230.637054
0,4,2229.193848,373.578491
0,-1,193.404755,442.226196
0,5,2500.854248,453.538208
0,6,557.686218,651.094666
0,7,562.565125,749.474121
0,8,1973.051514,960.333801
0,-1,10.385,997.030029
0,-1,59.336449,996.827087
1,-1,497.01709,3.854701
1,-1,712.455261,3.307393
1,-1,915.89917,3.369748
1,-1,1130.03772,3.215094
1,-1,1338.239624,3.380165
1,2,2382.682861,92.029358
1,3,1405.649658,229.180786
1,4,2229.825195,374.153503
1,-1,193.537842,442.569733
1,5,2502.478271,453.555176
1,6,560.147766,651.231873
1,7,577.937439,740.593872
1,8,1973.116211,960.251465
1,-1,59.97596,996.634644
2,-1,706.481079,3.435606
2,-1,915.106079,3.238636
2,-1,1127.822144,2.936759
2,-1,1337.343872,3.411067
2,2,2378.44751,91.806885
2,3,1405.898926,231.284103
2,4,2229.467529,373.635284
2,-1,193.333328,442.292175
2,5,2504.56665,453.695831
2,6,569.872192,658.158875
2,7,584.671021,740.5401
2,8,1971.812622,960.008362
2,-1,58.8867,997.270935
3,-1,495.701691,3.747899
3,-1,708.570374,3.525926
3,-1,915.95874,3.137615
3,-1,1129.354736,3.283019
3,-1,1340.764038,3.02
3,2,2376.787842,92.506401
3,3,1405.049805,229.014923
3,4,2228.935059,372.888428
3,-1,193.431534,442.207458
3,5,2503.761475,453.814392
3,6,576.821655,660.190735
3,7,588.821045,740.90448
3,8,1971.185181,960.391907
3,-1,11.182693,996.769226
3,-1,58.353489,996.851135
4,-1,498.877625,3.177215
4,-1,708.203186,3.577689
4,-1,914.69751,3.032028
4,-1,1339.31665,3.362934
4,2,2375.256104,88.480522
4,3,1406.579346,229.486633
4,4,2228.743164,372.760132
4,-1,192.983994,442.391998
4,5,2503.936279,454.093628
4,6,586.703552,658.042786
4,7,597.368103,741.086304
4,8,1971.758301,960.041443
5,-1,535.333313,2.061905
5,-1,746.357361,3.236066
5,-1,953.317749,3.014019
5,-1,1169.384399,3.576512
5,-1,1375.196777,3.135246
5,2,2355.117188,73.052254
5,3,1400.285278,221.497284
5,4,2237.252441,385.11441
5,-1,193.255478,442.974457
5,5,2504.59082,454.018951
5,-1,125.35154,568.351562
5,6,601.043518,656.195862
5,7,599.031372,747.989563
5,8,1971.342773,960.088196
6,-1,366.094055,3.732673
6,-1,565.458801,3.666667
6,-1,777.902344,3.375
6,-1,985.912292,3.008772
6,-1,1199.40625,3.636719
6,-1,1409.860962,2.951128
6,2,2339.942139,71.5597
6,3,1398.024292,230.698502
6,-1,146.042374,374.927979
6,4,2278.375977,391.691742
6,-1,193.437988,442.515503
6,5,2503.785645,453.636047
6,6,606.80835,649.066467
6,7,608.073853,744.665649
6,8,1973.622803,959.729065
6,-1,11.795122,997.67804
6,-1,57.436275,997.632324
7,-1,391.758942,3.375
7,-1,595.164124,2.98855
7,-1,808.194946,3.393502
7,-1,1015.191345,2.844765
7,-1,1228.660278,3.189189
7,-1,1435.724854,2.50655
7,2,2334.25708,72.985596
7,3,1397.890137,229.903595
7,-1,145.951019,376.608154
7,4,2284.743408,389.050507
7,5,2504.131348,453.443665
7,6,620.106873,639.106873
7,7,618.31958,737.842407
7,-1,3189.965088,799.460022
7,8,1971.349487,960.026367
7,-1,57.956001,995.875977
8,-1,618.294983,2.065
8,-1,831.244873,3.065306
8,-1,1033.242798,3.135803
8,-1,1251.098633,3.267606
8,2,2336.256592,74.191147
8,3,1396.280762,229.30394
8,4,2296.2854,391.195374
8,5,2504.598145,452.990326
8,6,620.691833,633.842957
8,7,625.647522,735.291077
8,-1,3189.593994,800.495056
8,8,1972.077759,960.072144
9,-1,637.227295,3.2
9,-1,851.617493,3.43318
9,-1,1058.626587,3.497854
9,-1,1275.556396,3.55642
9,2,2336.745361,74.719055
9,3,1397.143188,223.068542
9,4,2292.744873,386.229584
9,5,2505.477295,452.976135
9,6,631.468018,631.585571
9,7,631.221558,735.689026
9,-1,3189.060303,799.300903
9,8,1969.961182,960.136353
10,-1,876.070251,3.520661
10,-1,1083.099609,2.767528
10,-1,1505.781616,4.20524
10,2,2343.5271,75.177376
10,3,1397.839233,220.966736
10,4,2295.611572,384.708344
10,5,2506.190918,452.774719
10,6,658.254578,629.209351
10,7,628.64624,741.489807
10,-1,3189.415771,800.250916
10,8,1985.19458,960.091125
10,-1,1953.007812,959.568604
11,-1,521.411499,3.674641
11,-1,721.463135,3.094262
11,-1,937.85199,3.488
11,-1,1144.066406,2.845133
11,-1,1359.742432,3.166667
11,2,2328.647705,88.256287
11,3,1394.0625,227.477829
11,4,2298.062256,381.933014
11,5,2506.200439,452.785706
11,6,738.343689,620.757751
11,7,645.348511,735.928345
11,8,1985.668335,960.104614
12,-1,566.715393,3.249012
12,-1,770.354553,3.111554
12,-1,983.868286,3.263375
12,-1,1190.835449,3.571429
12,-1,1406.671021,3.108553
12,-1,3267.579346,32.503967
12,-1,2332.182129,84.031006
12,2,2299.914551,95.766449
12,3,1393.179443,224.957062
12,4,2314.214844,385.285126
12,5,2506.732666,452.546509
12,6,793.108337,617.551086
12,7,656.809814,732.524536
12,-1,3267.301514,891.344482
