frame,labelimageId,trackId,lineageId,parentTrackId,mergerLabelId,Convexity_0,Number_of_Defects_0,Mean_Defect_Displacement_0,Mean_Defect_Area_0,Variance_of_Defect_Area_0,Convex_Hull_Center_0,Convex_Hull_Center_1,Object_Center_0,Object_Center_1,Object_Area_0,Kurtosis_of_Intensity_0,Maximum_intensity_0,Mean_Intensity_0,Minimum_intensity_0,Principal_components_of_the_object_0,Principal_components_of_the_object_1,Principal_components_of_the_object_2,Principal_components_of_the_object_3,Radii_of_the_object_0,Radii_of_the_object_1,Skewness_of_Intensity_0,Total_Intensity_0,Variance_of_Intensity_0,Average_Branch_Length_0,Number_of_Branches_0,Diameter_0,Euclidean_Diameter_0,Number_of_Holes_0,Center_of_the_Skeleton_0,Center_of_the_Skeleton_1,Terminal_1_0,Terminal_1_1,Terminal_2_0,Terminal_2_1,Length_of_the_Skeleton_0,Bounding_Box_Maximum_0,Bounding_Box_Maximum_1,Bounding_Box_Minimum_0,Bounding_Box_Minimum_1,Size_in_pixels_0,Center_of_the_object_0,Center_of_the_object_1
1,6,7,7,0,0,0.470370,4,20.371485,214.500000,51835.667969,1993.500000,851.500000,2000.902832,853.164062,762.000000,-0.091401,33.000000,15.856956,4.000000,0.982689,-0.185264,-0.185264,-0.982689,12.763638,6.490610,0.158911,12083.000000,26.146204,26.094757,3,60.627419,48.373547,0,1994,854,2009.000000,837.000000,1967.000000,861.000000,78.284271,2020,866,1967,837,762.000000,2000,853
1,7,8,8,0,0,0.661695,4,22.671608,124.750000,12294.250000,345.000000,970.000000,339.872955,970.378052,976.000000,-0.668567,55.000000,33.200821,7.000000,0.998241,0.059280,0.059280,-0.998241,14.074974,5.848967,-0.226179,32404.000000,92.318275,8.640272,30,63.798988,58.549126,0,344,971,374.000000,972.000000,316.000000,964.000000,259.208160,374,982,316,958,976.000000,339,970
1,8,9,9,0,0,0.632353,4,25.061377,156.250000,24137.583984,748.500000,1150.000000,755.528381,1149.367432,1075.000000,-0.818076,59.000000,37.644650,5.000000,0.999196,0.040082,0.040082,-0.999196,16.733463,5.593544,-0.462440,40468.000000,172.803955,9.351778,36,69.727921,64.629715,0,750,1149,779.000000,1140.000000,715.000000,1149.000000,336.664001,782,1162,715,1138,1075.000000,755,1149
2,1,2,2,0,0,0.383917,3,22.163719,656.333313,304140.343750,1184.500000,59.000000,1178.123047,57.229015,1227.000000,-0.480576,60.000000,40.079868,6.000000,0.844684,0.535265,0.535265,-0.844684,18.242834,5.888690,-0.626801,49178.000000,149.977325,9.699012,40,82.325905,73.824112,0,1185,63,1218.000000,82.000000,1151.000000,51.000000,387.960449,1218,82,1151,36,1227.000000,1178,57
2,2,3,3,0,0,0.489850,4,17.357836,238.750000,77020.914062,416.000000,237.500000,415.631409,240.763351,917.000000,-0.918352,50.000000,27.464558,10.000000,0.632765,-0.774344,0.774344,0.632765,13.719738,5.573250,0.302396,25185.000000,86.037186,9.393910,32,60.840622,56.400356,0,413,238,432.000000,259.000000,398.000000,214.000000,300.605133,435,261,397,214,917.000000,415,240
2,3,4,4,0,0,0.671313,4,18.092279,112.000000,25294.666016,280.000000,417.000000,277.024048,414.602173,915.000000,-0.732377,49.000000,34.582512,15.000000,0.948721,-0.316115,-0.316115,-0.948721,12.577393,6.293033,-0.322002,31643.000000,54.947018,8.727847,28,57.627419,49.244289,0,277,413,258.000000,429.000000,301.000000,405.000000,244.379730,303,431,257,403,915.000000,277,414
2,4,5,5,0,0,0.346334,3,21.856909,743.000000,340876.000000,727.500000,507.000000,731.569885,502.780701,1181.000000,-0.813272,56.000000,34.335308,8.000000,0.719356,-0.694642,-0.694642,-0.719356,17.370434,6.138964,-0.082332,40550.000000,107.753784,12.313903,26,81.982758,75.802376,0,727,509,697.000000,534.000000,758.000000,489.000000,320.161469,758,534,697,480,1181.000000,731,502
2,5,6,6,0,0,0.484259,3,13.438643,185.666672,12556.333008,1985.500000,742.500000,1985.730347,743.969421,523.000000,0.305404,20.000000,11.868069,5.000000,0.798192,0.602403,0.602403,-0.798192,9.593334,5.394517,-0.475599,6207.000000,6.833455,6.200806,29,44.941124,41.340054,0,1984,742,2003.000000,750.000000,1968.000000,728.000000,179.823380,2003,757,1968,728,523.000000,1985,743
2,6,7,7,0,0,0.483673,4,19.642216,189.750000,39523.582031,1995.000000,851.500000,2002.436035,852.630127,711.000000,-0.222427,31.000000,16.004219,4.000000,0.982804,-0.184654,-0.184654,-0.982804,11.556559,6.623875,0.085681,11379.000000,27.241896,28.313709,2,56.627419,40.496914,0,1996,853,2005.000000,837.000000,1971.000000,859.000000,56.627419,2019,866,1971,837,711.000000,2002,852
2,7,8,8,0,0,0.674306,4,23.320198,117.250000,10697.583008,345.500000,970.500000,340.240997,970.369751,971.000000,-0.608123,54.000000,33.254375,7.000000,0.999129,0.041720,0.041720,-0.999129,14.249586,5.783748,-0.272532,32290.000000,90.708725,8.737581,31,65.213203,59.682495,0,345,971,375.000000,972.000000,316.000000,963.000000,270.865021,375,982,316,959,971.000000,340,970
